appid	name	playtime_forever	img_icon_url	img_logo_url	playtime_windows_forever	playtime_mac_forever	playtime_linux_forever	achievements	total_achievements	earned_achievements	is_multiplayer	genre	price	reviews
232090	Killing Floor 2	293	15837cefb378766e9916548f8591b6eb490b9e52	97d6a09bcca126ebaf1488b0faed79c6772716cb	0	0	0	0.06343283582089553	268	17	True	FPS	0.0	Mixed
232150	Killing Floor 2 - SDK	0	2f0e11b75760cd65922d4c0e06cf41735fe3ff89	b341754b0ca9192271226eb60c4e2a70b5b66ebe	0	0	0		0	0				
365720	Skyrim Script Extender (SKSE)	1	48eaa1815ac4beddc4d7c9fec6c2517f6f0b718e	2e321af767f304de67d59f9c4329a8b8d553739b	0	0	0		0	0	False	RPG	0.0	Overwhelmingly Positive
368950	Jigoku Kisetsukan: Sense of the Seasons	178	d9f31583ef0c57b0d5044aff3d335c9ce69eaf53	46ff8ec28052a338638b51e5329a77f3c675ee31	0	0	0	0.2380952380952381	21	5	False	Bullet Hell	0.0	Very Positive
351710	Hyperdimension Neptunia Re;Birth2 Sisters Generation	1134	4408956509788bec91f53e3cd7bdc0f8bdc3bfcf	f6f3b34fca9d67f8309afae55bce8fe0fad4a3d0	0	0	0	0.4390243902439024	41	18	False	JRPG	179.99	Very Positive
375200	Sakura Fantasy Chapter 1	0	3fc430a6c6096d609041d684675030e468e77380	a37542d43f4e9bbc6bb13dacd033288d16a0ae1e	0	0	0		0	0	False	Visual Novel	129.99	Very Positive
377680	Sakura Beach	0	45ae73240006e5f26f793c16265f63cb573d71f1	e75b5318ffd82972a739b1f88b54d07183bc74fb	0	0	0		0	0	False	Visual Novel	129.99	Mostly Positive
386360	SMITE	208	7ed9de7bbfab9accb81e47b84943e7478baf2f3a	db36e43d2de5bf8913e5022425577866b2e8fd11	0	0	0	0.033210332103321034	271	9	True	MOBA	0.0	Mixed
858460	Smite - Public Test	0	20e160ebdeddbb45f1066f62797cee2dff94da95	ed84d684b6a3e4afd5bd0ffa86f38320512ecfd5	0	0	0		0	0				
387340	Hyperdimension Neptunia U: Action Unleashed	39	029a132b80d71c8867cea543a4dd1cd7c63bf9d4	9ad044e2bcee72759ef76044d76b678e0c06bc56	0	0	0	0.11428571428571427	35	4	False	Hack and Slash	179.99	Very Positive
